name,link,category
"Борщ «Украинский» с курицей, 1 кг",https://vkusvill.ru/goods/borshch-ukrainskiy-s-kuritsey-1-kg-35099.html,Готовая еда
Борщ с говядиной,https://vkusvill.ru/goods/borshch-s-govyadinoy-42530.html,Готовая еда
"Борщ с говядиной, 1 кг",https://vkusvill.ru/goods/borshch-s-govyadinoy-1-kg-67837.html,Готовая еда
"Боул с запеченной свеклой, тыквой, фетой и семечками",https://vkusvill.ru/goods/boul-s-zapechennoy-svekloy-tykvoy-fetoy-i-semechkami-99984.html,Готовая еда
Бризоль из рыбы с рисом басмати,https://vkusvill.ru/goods/brizol-iz-ryby-s-risom-basmati-74667.html,Готовая еда
Булгур с овощами и подкопченой паприкой,https://vkusvill.ru/goods/bulgur-s-ovoshchami-i-podkopchenoy-paprikoy-103878.html,Готовая еда
"Бургер «Брекфаст», кафе",https://vkusvill.ru/goods/burger-brekfast-kafe-100258.html,Готовая еда
Бургеры с куриной котлетой и сыром Чеддер,https://vkusvill.ru/goods/burgery-s-kurinoy-kotletoy-i-syrom-chedder-78473.html,Готовая еда
"Бутерброд с тунцом и базиликом, 156 г",https://vkusvill.ru/goods/buterbrod-s-tuntsom-i-bazilikom-156-g-86021.html,Готовая еда
Вареники ленивые в наборе с клубничным вареньем,https://vkusvill.ru/goods/vareniki-lenivye-v-nabore-s-klubnichnym-varenem-104252.html,Готовая еда
Вареники постные с картофелем и грибами,https://vkusvill.ru/goods/vareniki-postnye-s-kartofelem-i-gribami-43609.html,Готовая еда
"Ватрушки-мини с творогом и вишней, 4 шт",https://vkusvill.ru/goods/vatrushki-mini-s-tvorogom-i-vishney-4-sht-83509.html,Готовая еда
Вертута с капустой,https://vkusvill.ru/goods/vertuta-s-kapustoy-76059.html,Готовая еда
Вертута с малиной. Пекарня,https://vkusvill.ru/goods/vertuta-s-malinoy-pekarnya-106526.html,Готовая еда
Вертута с яблоком и корицей. Пекарня,https://vkusvill.ru/goods/vertuta-s-yablokom-i-koritsey-pekarnya-101561.html,Готовая еда
Вок рамен с курицей в апельсиново-имбирном соусе,https://vkusvill.ru/goods/vok-ramen-s-kuritsey-v-apelsinovo-imbirnom-souse-37782.html,Готовая еда
Вок с креветкой в соево-чесночном соусе,https://vkusvill.ru/goods/vok-s-krevetkoy-v-soevo-chesnochnom-souse-37779.html,Готовая еда
Вок фунчоза с креветками,https://vkusvill.ru/goods/vok-funchoza-s-krevetkami-51915.html,Готовая еда
"Гамбургер, кафе",https://vkusvill.ru/goods/gamburger-kafe-100257.html,Готовая еда
"Гедза с говядиной на пару с соусом сальса, 350 г",https://vkusvill.ru/goods/gedza-s-govyadinoy-na-paru-s-sousom-salsa-350-g-90995.html,Готовая еда
Гедза с курицей во фритюре,https://vkusvill.ru/goods/gedza-s-kuritsey-vo-frityure-105489.html,Готовая еда
Говядина су-вид с картофельным пюре,https://vkusvill.ru/goods/govyadina-su-vid-s-kartofelnym-pyure-80372.html,Готовая еда
Говядина томленая в гранатовом соке с картофельным пюре и фасолью,https://vkusvill.ru/goods/govyadina-tomlenaya-v-granatovom-soke-s-kartofelnym-pyure-i-fasolyu-71656.html,Готовая еда
Говядина томленая в перечном соусе с картофельным пюре,https://vkusvill.ru/goods/govyadina-tomlenaya-v-perechnom-souse-s-kartofelnym-pyure-100831.html,Готовая еда
"Говядина томленая, 350 г",https://vkusvill.ru/goods/govyadina-tomlenaya-350-g-70724.html,Готовая еда
Говядина тушеная по-домашнему с картофельным пюре,https://vkusvill.ru/goods/govyadina-tushenaya-po-domashnemu-s-kartofelnym-pyure-71648.html,Готовая еда
Голубцы классические,https://vkusvill.ru/goods/golubtsy-klassicheskie-93948.html,Готовая еда
Голубцы ленивые в сметанном соусе,https://vkusvill.ru/goods/golubtsy-lenivye-v-smetannom-souse-29522.html,Готовая еда
"Голубцы ленивые из мяса птицы, 600 г",https://vkusvill.ru/goods/golubtsy-lenivye-iz-myasa-ptitsy-600-g-65276.html,Готовая еда
Голубцы с курицей и перловкой,https://vkusvill.ru/goods/golubtsy-s-kuritsey-i-perlovkoy-107224.html,Готовая еда
Гречка отварная,https://vkusvill.ru/goods/grechka-otvarnaya-89998.html,Готовая еда
"Гречка отварная с овощами, 200 г",https://vkusvill.ru/goods/grechka-otvarnaya-s-ovoshchami-200-g-61751.html,Готовая еда
Гречка по-купечески,https://vkusvill.ru/goods/grechka-po-kupecheski-66903.html,Готовая еда
Гречка с котлетами из индейки,https://vkusvill.ru/goods/grechka-s-kotletami-iz-indeyki-46647.html,Готовая еда
Гречневая лапша с индейкой,https://vkusvill.ru/goods/grechnevaya-lapsha-s-indeykoy-41137.html,Готовая еда
Грибной жюльен с курицей и картофельным пюре,https://vkusvill.ru/goods/gribnoy-zhyulen-s-kuritsey-i-kartofelnym-pyure-67836.html,Готовая еда
"Грибы древесные белые маринованные с ананасами, устричным соусом и цедрой апельсина",https://vkusvill.ru/goods/griby-drevesnye-belye-marinovannye-s-ananasami-ustrichnym-sousom-i-tsedroy-apelsina-92223.html,Готовая еда
Грудка куриная с картофелем по-деревенски,https://vkusvill.ru/goods/grudka-kurinaya-s-kartofelem-po-derevenski-37867.html,Готовая еда
Грузинский суп из фасоли с овощами,https://vkusvill.ru/goods/gruzinskiy-sup-iz-fasoli-s-ovoshchami-54161.html,Готовая еда
Гуляш из говядины с гречкой,https://vkusvill.ru/goods/gulyash-iz-govyadiny-s-grechkoy-27194.html,Готовая еда
"Драник-сэндвич с форелью и творожно-сельдереевым соусом, кафе",https://vkusvill.ru/goods/dranik-sendvich-s-forelyu-i-tvorozhno-seldereevym-sousom-kafe-103894.html,Готовая еда
Драники овощные,https://vkusvill.ru/goods/draniki-ovoshchnye-24838.html,Готовая еда
Ежики мясные с отварной гречкой,https://vkusvill.ru/goods/ezhiki-myasnye-s-otvarnoy-grechkoy-43719.html,Готовая еда
Жаркое из говядины с грибами,https://vkusvill.ru/goods/zharkoe-iz-govyadiny-s-gribami-99375.html,Готовая еда
Жаркое из говядины с овощами,https://vkusvill.ru/goods/zharkoe-iz-govyadiny-s-ovoshchami-100603.html,Готовая еда
Жаркое из индейки с тыквой,https://vkusvill.ru/goods/zharkoe-iz-indeyki-s-tykvoy-101866.html,Готовая еда
Жюльен «Грибной» с шампиньонами и белыми грибами,https://vkusvill.ru/goods/zhyulen-gribnoy-s-shampinonami-i-belymi-gribami-71219.html,Готовая еда
Закуска из шампиньонов по-корейски,https://vkusvill.ru/goods/zakuska-iz-shampinonov-po-koreyski-95362.html,Готовая еда
Заливное из говяжьего языка,https://vkusvill.ru/goods/zalivnoe-iz-govyazhego-yazyka-18164.html,Готовая еда
Заливное из индейки,https://vkusvill.ru/goods/zalivnoe-iz-indeyki-15275.html,Готовая еда
Заливное с говядиной и овощами,https://vkusvill.ru/goods/zalivnoe-s-govyadinoy-i-ovoshchami-40051.html,Готовая еда
Запеканка картофельная с курицей,https://vkusvill.ru/goods/zapekanka-kartofelnaya-s-kuritsey-98213.html,Готовая еда
Запеканка картофельная с мясом,https://vkusvill.ru/goods/zapekanka-kartofelnaya-s-myasom-30218.html,Готовая еда
"Запеканка картофельная с мясом, 600 г",https://vkusvill.ru/goods/zapekanka-kartofelnaya-s-myasom-600-g-48191.html,Готовая еда
Запеканка классическая,https://vkusvill.ru/goods/zapekanka-klassicheskaya-69.html,Готовая еда
"Запеканка творож. с черной смород., 100 г",https://vkusvill.ru/goods/zapekanka-tvorozh-s-chernoy-smorod-100-g-33660.html,Готовая еда
Запеканка творожная «Айва-банан» без доб. сахара,https://vkusvill.ru/goods/zapekanka-tvorozhnaya-ayva-banan-bez-dob-sakhara-29330.html,Готовая еда
Запеканка творожная без доб. сахара с манго и семенами чиа,https://vkusvill.ru/goods/zapekanka-tvorozhnaya-bez-dob-sakhara-s-mango-i-semenami-chia-53298.html,Готовая еда
Запеканка творожная без доб. сахара с ягодами,https://vkusvill.ru/goods/zapekanka-tvorozhnaya-bez-dob-sakhara-s-yagodami-104444.html,Готовая еда
Запеканка творожная с апельсиновыми цукатами,https://vkusvill.ru/goods/zapekanka-tvorozhnaya-s-apelsinovymi-tsukatami-97310.html,Готовая еда
Запеканка творожная с вишней без доб. сахара,https://vkusvill.ru/goods/zapekanka-tvorozhnaya-s-vishney-bez-dob-sakhara-38255.html,Готовая еда
Запеканка творожная с грушей,https://vkusvill.ru/goods/zapekanka-tvorozhnaya-s-grushey-39477.html,Готовая еда
Запеканка творожная с клубникой без добавленного сахара,https://vkusvill.ru/goods/zapekanka-tvorozhnaya-s-klubnikoy-bez-dobavlennogo-sakhara-38253.html,Готовая еда
Запеканка творожная с черникой,https://vkusvill.ru/goods/zapekanka-tvorozhnaya-s-chernikoy-39480.html,Готовая еда
"Запеканка творожная, 250 г",https://vkusvill.ru/goods/zapekanka-tvorozhnaya-250-g-39363.html,Готовая еда
Зеленый салат с кунжутно-майонезным соусом,https://vkusvill.ru/goods/zelenyy-salat-s-kunzhutno-mayoneznym-sousom-102967.html,Готовая еда
Испанский суп с охотничьими колбасками и томленой говядиной,https://vkusvill.ru/goods/ispanskiy-sup-s-okhotnichimi-kolbaskami-i-tomlenoy-govyadinoy-103898.html,Готовая еда
Кабачки «Гриль» со сметанно-чесночным соусом,https://vkusvill.ru/goods/kabachki-gril-so-smetanno-chesnochnym-sousom-96044.html,Готовая еда
Кальмар «Гриль» с рисом,https://vkusvill.ru/goods/kalmar-gril-s-risom-50397.html,Готовая еда
Капуста квашеная с имбирем,https://vkusvill.ru/goods/kapusta-kvashenaya-s-imbirem-99072.html,Готовая еда
"Капуста квашеная, 300 г",https://vkusvill.ru/goods/kapusta-kvashenaya-300-g-29812.html,Готовая еда
"Капуста кимчи консерв. ст/б, 410 г",https://vkusvill.ru/goods/kapusta-kimchi-konserv-st-b-410-g-79106.html,Готовая еда
"Капуста кимчи обжаренная YOKIMCHI ж/б, 160 г",https://vkusvill.ru/goods/kapusta-kimchi-obzharennaya-yokimchi-zh-b-160-g-61240.html,Готовая еда
"Капуста кимчи, 150 г",https://vkusvill.ru/goods/kapusta-kimchi-150-g-27711.html,Готовая еда
"Капуста кимчи, 250 г",https://vkusvill.ru/goods/kapusta-kimchi-250-g-68566.html,Готовая еда
Капуста маринованная по-гурийски,https://vkusvill.ru/goods/kapusta-marinovannaya-po-guriyski-95954.html,Готовая еда
Капуста тушеная с овощами,https://vkusvill.ru/goods/kapusta-tushenaya-s-ovoshchami-89997.html,Готовая еда
Карбонад с запеченным картофелем и горчичным соусом,https://vkusvill.ru/goods/karbonad-s-zapechennym-kartofelem-i-gorchichnym-sousom-104638.html,Готовая еда
"Картоф. пюре, капуста по-баварски, с колбасками по-нюрнбергски и горч. соусом",https://vkusvill.ru/goods/kartof-pyure-kapusta-po-bavarski-s-kolbaskami-po-nyurnbergski-i-gorch-sousom-41132.html,Готовая еда
Картофель жаренный со свининой и грибами в сметанном соусе,https://vkusvill.ru/goods/kartofel-zharennyy-so-svininoy-i-gribami-v-smetannom-souse-105529.html,Готовая еда
Картофель жареный со свининой и грибами в сметанном соусе,https://vkusvill.ru/goods/kartofel-zharenyy-so-svininoy-i-gribami-v-smetannom-souse-68461.html,Готовая еда
Картофель запеченный с ветчиной куриной под сыром,https://vkusvill.ru/goods/kartofel-zapechennyy-s-vetchinoy-kurinoy-pod-syrom-71621.html,Готовая еда
Картофель запеченный с прованскими травами,https://vkusvill.ru/goods/kartofel-zapechennyy-s-provanskimi-travami-70125.html,Готовая еда
Картофель запечённый под сыром с сосисками в горчичном соусе,https://vkusvill.ru/goods/kartofel-zapechyennyy-pod-syrom-s-sosiskami-v-gorchichnom-souse-105250.html,Готовая еда
"Картофель мини с чесноком, зеленью запеченный",https://vkusvill.ru/goods/kartofel-mini-s-chesnokom-zelenyu-zapechennyy-100604.html,Готовая еда
"Картофель отварной с укропом, 500 г",https://vkusvill.ru/goods/kartofel-otvarnoy-s-ukropom-500-g-72937.html,Готовая еда
"Картофельное пюре, 500 г",https://vkusvill.ru/goods/kartofelnoe-pyure-500-g-68797.html,Готовая еда
Каша гречневая «по-драгомировски» на бульоне из грибов,https://vkusvill.ru/goods/kasha-grechnevaya-po-dragomirovski-na-bulone-iz-gribov-100149.html,Готовая еда
Каша гречневая сливочная,https://vkusvill.ru/goods/kasha-grechnevaya-slivochnaya-81476.html,Готовая еда
"Каша овсяная молочная с яблоком и корицей, 215 г",https://vkusvill.ru/goods/kasha-ovsyanaya-molochnaya-s-yablokom-i-koritsey-215-g-68084.html,Готовая еда
Каша овсяная на безлактозном молоке без добавления сахара,https://vkusvill.ru/goods/kasha-ovsyanaya-na-bezlaktoznom-moloke-bez-dobavleniya-sakhara-100348.html,Готовая еда
Каша овсяная на миндальной основе,https://vkusvill.ru/goods/kasha-ovsyanaya-na-mindalnoy-osnove-97380.html,Готовая еда
Каша овсяная на молоке,https://vkusvill.ru/goods/kasha-ovsyanaya-na-moloke-76421.html,Готовая еда
Каша овсяная на раст. нап. с топ. дыня-абрикос,https://vkusvill.ru/goods/kasha-ovsyanaya-na-rast-nap-s-top-dynya-abrikos-98151.html,Готовая еда
Каша овсяная на растительном банановом напитке,https://vkusvill.ru/goods/kasha-ovsyanaya-na-rastitelnom-bananovom-napitke-98153.html,Готовая еда
Каша овсяная с семенами чиа на миндально-рисовом напитке с вишневым компоте,https://vkusvill.ru/goods/kasha-ovsyanaya-s-semenami-chia-na-mindalno-risovom-napitke-s-vishnevym-kompote-102021.html,Готовая еда
"Каша пшенная молочная с тыквой, 250 г",https://vkusvill.ru/goods/kasha-pshennaya-molochnaya-s-tykvoy-250-g-68804.html,Готовая еда
"Каша пшенная сливочная, 250 г",https://vkusvill.ru/goods/kasha-pshennaya-slivochnaya-250-g-68616.html,Готовая еда
"Каша пшенно-рисовая на молоке, 270 г",https://vkusvill.ru/goods/kasha-pshenno-risovaya-na-moloke-270-g-78288.html,Готовая еда
"Каша пшённая с манго, персиком и эстрагоном",https://vkusvill.ru/goods/kasha-pshyennaya-s-mango-persikom-i-estragonom-105214.html,Готовая еда
"Каша пшённая с сыром пармезан и соусом песто, кафе",https://vkusvill.ru/goods/kasha-pshyennaya-s-syrom-parmezan-i-sousom-pesto-kafe-99936.html,Готовая еда
"Каша рисовая безмолочная на кокосе, 250 г",https://vkusvill.ru/goods/kasha-risovaya-bezmolochnaya-na-kokose-250-g-71220.html,Готовая еда
"Каша рисовая молочная, 250 г",https://vkusvill.ru/goods/kasha-risovaya-molochnaya-250-g-72848.html,Готовая еда
Каша рисовая с арахисовой пастой,https://vkusvill.ru/goods/kasha-risovaya-s-arakhisovoy-pastoy-101689.html,Готовая еда
Каша рисовая с клубнично-вишневым топингом,https://vkusvill.ru/goods/kasha-risovaya-s-klubnichno-vishnevym-topingom-96608.html,Готовая еда
Каша рисовая с манговым топингом,https://vkusvill.ru/goods/kasha-risovaya-s-mangovym-topingom-67453.html,Готовая еда
Кесадилья с ветчиной из индейки и сыром,https://vkusvill.ru/goods/kesadilya-s-vetchinoy-iz-indeyki-i-syrom-83595.html,Готовая еда
"Кесадилья с курицей, 220 г",https://vkusvill.ru/goods/kesadilya-s-kuritsey-220-g-95427.html,Готовая еда
"Кета жареная филе, 200 г",https://vkusvill.ru/goods/keta-zharenaya-file-200-g-70274.html,Готовая еда
Киш «Сыр с овощами»,https://vkusvill.ru/goods/kish-syr-s-ovoshchami-28728.html,Готовая еда
Клаб-сэндвич с куриным пате и копчено-вареным беконом,https://vkusvill.ru/goods/klab-sendvich-s-kurinym-pate-i-kopcheno-varenym-bekonom-92847.html,Готовая еда
Клаб-сэндвич с курицей и яйцом,https://vkusvill.ru/goods/klab-sendvich-s-kuritsey-i-yaytsom-63727.html,Готовая еда
"Комбо американо 0.4 и чиабатта с курицей и соусом цезарь, кафе",https://vkusvill.ru/goods/kombo-amerikano-0-4-i-chiabatta-s-kuritsey-i-sousom-tsezar-kafe-74607.html,Готовая еда
"Комбо американо 0.4 и чиабатта с курицей, моцареллой и омлетом, кафе",https://vkusvill.ru/goods/kombo-amerikano-0-4-i-chiabatta-s-kuritsey-motsarelloy-i-omletom-kafe-74608.html,Готовая еда
"Комбо капучино 0,4 на кокосовом напитке и Пирожное веган Sweet бисквит гречишный, кафе",https://vkusvill.ru/goods/kombo-kapuchino-0-4-na-kokosovom-napitke-i-pirozhnoe-vegan-sweet-biskvit-grechishnyy-kafe-78694.html,Готовая еда
"Комбо капучино 0.4 и Чиабатта с курицей, моцареллой и омлетом, кафе",https://vkusvill.ru/goods/kombo-kapuchino-0-4-i-chiabatta-s-kuritsey-motsarelloy-i-omletom-kafe-69989.html,Готовая еда
"Комбо капучино 0.4 и чиабатта с курицей и соусом цезарь, кафе",https://vkusvill.ru/goods/kombo-kapuchino-0-4-i-chiabatta-s-kuritsey-i-sousom-tsezar-kafe-69493.html,Готовая еда
Комбо-набор: Биточки сочные с пенне и Салат «Крабовый»,https://vkusvill.ru/goods/kombo-nabor-bitochki-sochnye-s-penne-i-salat-krabovyy-102212.html,Готовая еда
Конвертики с ветчиной и сыром (для завтрака),https://vkusvill.ru/goods/konvertiki-s-vetchinoy-i-syrom-dlya-zavtraka-86688.html,Готовая еда
"Конвертики с грибами и сыром, 2 шт",https://vkusvill.ru/goods/konvertiki-s-gribami-i-syrom-2-sht-85539.html,Готовая еда
Конвертики с курицей и маринованным огурчиком,https://vkusvill.ru/goods/konvertiki-s-kuritsey-i-marinovannym-ogurchikom-96262.html,Готовая еда
"Конвертики с курицей, сыром и томатами с зеленью",https://vkusvill.ru/goods/konvertiki-s-kuritsey-syrom-i-tomatami-s-zelenyu-76016.html,Готовая еда
Конвертики с начинкой «Курица в сырном соусе»,https://vkusvill.ru/goods/konvertiki-s-nachinkoy-kuritsa-v-syrnom-souse-94233.html,Готовая еда
Конвертики с подкопченой курицей и сыром,https://vkusvill.ru/goods/konvertiki-s-podkopchenoy-kuritsey-i-syrom-96261.html,Готовая еда
Конвертики с яйцом и луком,https://vkusvill.ru/goods/konvertiki-s-yaytsom-i-lukom-96067.html,Готовая еда
"Корюшка жареная, 200 г",https://vkusvill.ru/goods/koryushka-zharenaya-200-g-86669.html,Готовая еда
Котлета Домашняя с макаронами,https://vkusvill.ru/goods/kotleta-domashnyaya-s-makaronami-67621.html,Готовая еда
Котлета «Нежная» со сливочным маслом и картофельным пюре,https://vkusvill.ru/goods/kotleta-nezhnaya-so-slivochnym-maslom-i-kartofelnym-pyure-67243.html,Готовая еда
Котлета из курицы и индейки с булгуром «по-тайски»,https://vkusvill.ru/goods/kotleta-iz-kuritsy-i-indeyki-s-bulgurom-po-tayski-104709.html,Готовая еда
Котлета из птицы с брокколи и соусом,https://vkusvill.ru/goods/kotleta-iz-ptitsy-s-brokkoli-i-sousom-21818.html,Готовая еда
Котлета из судака в панировке из сухарей с картофельным пюре,https://vkusvill.ru/goods/kotleta-iz-sudaka-v-panirovke-iz-sukharey-s-kartofelnym-pyure-102022.html,Готовая еда
Котлета куриная в панировке из сухарей с картофельным пюре,https://vkusvill.ru/goods/kotleta-kurinaya-v-panirovke-iz-sukharey-s-kartofelnym-pyure-39543.html,Готовая еда
Котлета куриная на пару фаршированная брокколи,https://vkusvill.ru/goods/kotleta-kurinaya-na-paru-farshirovannaya-brokkoli-68288.html,Готовая еда
Котлета куриная с карт. пюре и овощами,https://vkusvill.ru/goods/kotleta-kurinaya-s-kart-pyure-i-ovoshchami-29021.html,Готовая еда
Котлета куриная с картофельным пюре,https://vkusvill.ru/goods/kotleta-kurinaya-s-kartofelnym-pyure-20969.html,Готовая еда
"Котлета куриная с картофельным пюре, 400 г",https://vkusvill.ru/goods/kotleta-kurinaya-s-kartofelnym-pyure-400-g-58173.html,Готовая еда
Котлета куриная с фарфалле,https://vkusvill.ru/goods/kotleta-kurinaya-s-farfalle-75244.html,Готовая еда
"Котлета мясная с картофельным пюре, огурцами и брусникой",https://vkusvill.ru/goods/kotleta-myasnaya-s-kartofelnym-pyure-ogurtsami-i-brusnikoy-89609.html,Готовая еда
Котлета рыбная с картофельным пюре,https://vkusvill.ru/goods/kotleta-rybnaya-s-kartofelnym-pyure-61688.html,Готовая еда
Котлетка из цыпленка с булгуром и овощами,https://vkusvill.ru/goods/kotletka-iz-tsyplenka-s-bulgurom-i-ovoshchami-70268.html,Готовая еда
Котлетки рыбные с запеченными овощами,https://vkusvill.ru/goods/kotletki-rybnye-s-zapechennymi-ovoshchami-30084.html,Готовая еда
Котлеты Домашние с картофельным пюре,https://vkusvill.ru/goods/kotlety-domashnie-s-kartofelnym-pyure-58171.html,Готовая еда
